genres,avg_profit,movie_count
Adventure|Animation|Drama|Family|Musical,377783777,1
Action|Adventure|Comedy|Romance|Sci-Fi,305024263,1
Action|Biography|Drama|History|Thriller|War,291323553,1
Adventure|Animation|Comedy|Family|Fantasy|Musical,250736600,1
Adventure|Drama|Fantasy|Romance,205936148.25,4
Action|Adventure|Fantasy|Sci-Fi,200475251.42857143,7
Adventure|Animation|Comedy|Drama|Family|Fantasy,181454367,1
Action|Adventure|Animation|Family,169437578,1
Adventure|Drama|Sci-Fi|Thriller,162935402,3
Adventure|Comedy|Family|Mystery|Sci-Fi,160147615,1
